Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,166.932495,169.587494,166.932495,169.157501,124.806808,4734168
2005-01-04,168.750000,169.250000,166.645004,167.657501,123.700066,4979104
2005-01-05,167.524994,167.524994,160.037506,165.625000,122.200470,9604320
2005-01-06,165.000000,168.250000,161.562500,165.057495,121.781723,8006888
2005-01-07,166.250000,168.125000,164.082504,167.494995,123.580170,7623136
2005-01-10,168.582504,169.925003,165.250000,165.932495,122.427361,7521568
2005-01-11,166.250000,166.912506,162.625000,164.220001,121.163864,7986376
2005-01-12,165.744995,170.994995,160.837494,162.257507,119.715828,20720032
2005-01-13,163.750000,167.337494,159.375000,161.612503,119.239975,27757952
2005-01-14,163.087494,164.737503,159.625000,162.050003,119.562759,15757776
2005-01-17,163.699997,163.699997,155.024994,157.907501,116.506393,13651184
2005-01-18,159.337494,160.500000,157.187500,157.982498,116.561737,6183264
2005-01-19,158.250000,159.212494,156.387497,156.925003,115.781464,3538488
2005-01-20,156.875000,156.875000,153.750000,155.462494,114.702469,4536200
2005-01-24,155.462494,155.919998,151.919998,152.582504,112.577530,3628192
2005-01-25,151.850006,154.987503,150.887497,154.432495,113.942459,4465928
2005-01-27,155.407501,156.725006,154.412506,155.070007,114.412834,5455344
2005-01-28,155.357498,161.850006,155.312500,161.149994,118.898735,8393816
2005-01-31,162.250000,163.975006,161.282501,162.550003,119.931702,5853384
2005-02-01,163.375000,165.000000,160.875000,164.407501,121.302155,8019840
2005-02-02,164.875000,165.432495,162.875000,163.619995,120.721062,4870456
2005-02-03,164.000000,164.345001,162.750000,163.887497,121.242706,3327616
2005-02-04,163.750000,165.250000,162.570007,163.307495,120.813622,2684040
2005-02-07,164.074997,166.337494,162.625000,164.220001,121.488716,5944216
2005-02-08,164.220001,165.375000,163.500000,164.500000,121.695839,3284432
2005-02-09,165.125000,167.949997,165.095001,166.600006,123.249374,5537936
2005-02-10,166.250000,167.937500,165.375000,166.582504,123.236443,4376648
2005-02-11,167.250000,173.375000,167.250000,172.720001,127.776939,10367096
2005-02-14,173.882507,177.250000,173.882507,176.207504,130.356964,8875264
2005-02-15,176.250000,176.875000,171.750000,172.669998,127.739883,3976720
2005-02-16,174.875000,174.875000,170.125000,171.020004,126.519211,3126832
2005-02-17,171.020004,173.250000,168.824997,172.732498,127.786201,4124976
2005-02-18,172.500000,174.000000,169.375000,171.875000,127.151848,2545144
2005-02-21,171.375000,171.975006,168.137497,170.695007,126.278824,1777152
2005-02-22,170.587494,171.244995,168.875000,170.432495,126.084648,2139040
2005-02-23,170.432495,172.762497,169.395004,171.869995,127.148087,5166816
2005-02-24,171.869995,174.487503,170.149994,170.994995,126.500732,10806440
2005-02-25,172.100006,172.375000,169.145004,170.507507,126.140182,5070896
2005-02-28,172.375000,173.125000,167.500000,172.612503,127.697426,6402408
2005-03-01,172.625000,180.000000,168.875000,169.682495,125.529793,4958152
2005-03-02,171.875000,171.875000,170.199997,171.000000,126.504471,2658112
2005-03-03,171.250000,174.375000,170.500000,173.695007,128.498169,2891160
2005-03-04,174.250000,175.437500,172.750000,174.032501,128.747864,4017872
2005-03-07,174.375000,176.000000,174.250000,175.024994,129.482071,3658032
2005-03-08,175.500000,177.612503,174.419998,176.744995,130.754562,5027680
2005-03-09,176.125000,178.312500,174.382507,175.937500,130.157227,5422088
2005-03-10,176.250000,176.250000,173.782501,174.945007,129.422989,2302280
2005-03-11,175.750000,179.362503,175.625000,178.432495,132.002960,5205744
2005-03-14,178.500000,182.500000,177.500000,181.482498,134.259369,6534032
2005-03-15,181.375000,182.750000,178.750000,180.332504,133.408615,4146480
2005-03-16,180.000000,183.449997,180.000000,181.507507,134.277832,5473416
2005-03-17,181.000000,184.212494,180.000000,182.619995,135.100861,6805328
2005-03-18,182.375000,184.062500,178.125000,183.587494,135.816620,6123464
2005-03-21,183.770004,184.375000,180.574997,182.057495,134.684692,4354120
2005-03-22,181.850006,182.137497,180.012497,180.445007,133.491852,2684432
2005-03-23,180.000000,181.000000,176.669998,177.657501,131.429642,3439416
2005-03-24,178.750000,179.750000,172.207504,173.044998,128.017319,5954576
2005-03-28,173.875000,176.107498,173.000000,174.050003,128.760818,3699728
2005-03-29,174.375000,174.750000,170.274994,171.362503,126.772682,3053400
2005-03-30,171.387497,175.000000,170.000000,173.820007,128.590637,4115256
2005-03-31,175.562500,180.637497,174.657501,179.007507,132.428329,6914640
2005-04-01,179.125000,182.125000,176.750000,181.369995,134.176086,5562672
2005-04-04,181.500000,182.100006,177.912506,178.470001,132.030670,5257360
2005-04-05,178.625000,180.312500,177.012497,178.182495,131.817993,3367832
2005-04-06,178.375000,181.000000,178.375000,180.169998,133.288406,1953408
2005-04-07,180.125000,181.250000,177.750000,178.149994,131.793915,2483216
2005-04-08,178.837494,179.362503,173.757507,174.195007,128.868057,4052280
2005-04-11,174.625000,175.000000,170.012497,170.449997,126.097572,2822992
2005-04-12,174.875000,174.875000,170.625000,172.750000,127.799126,4112696
2005-04-13,174.250000,175.875000,173.195007,175.199997,129.611618,4638600
2005-04-15,174.375000,174.375000,164.375000,164.875000,121.973236,9862480
2005-04-18,162.500000,168.587494,161.375000,164.832504,121.941826,6024304
2005-04-19,166.250000,168.612503,147.262497,151.087494,111.773354,27235152
2005-04-20,150.000000,150.000000,136.662506,139.524994,103.219498,47498256
2005-04-21,140.625000,143.500000,138.750000,142.800003,105.642334,13252336
